,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX,regime,regime_name
1998-03-31,5.49,0.0,5.65,0.0487384622054994,24.219999313354492,1,stressed
1998-04-30,5.45,0.0012345679012344,5.64,0.0090355256687094,21.18000030517578,1,stressed
1998-05-31,5.49,0.0024660912453762,5.65,-0.0190056926596579,21.31999969482422,1,stressed
1998-06-30,5.56,0.0012300123001232,5.5,0.0386804139824303,19.709999084472656,0,calm
1998-07-31,5.54,0.0024570024570023,5.46,-0.0116833117841352,24.799999237060547,1,stressed
1998-08-31,5.55,0.0012254901960784,5.34,-0.1575860786834315,44.279998779296875,2,crisis
1998-09-30,5.51,0.000611995104039,4.81,0.0605262781981877,40.95000076293945,2,crisis
1998-10-31,5.07,0.002446483180428,4.53,0.0772334378916789,28.049999237060547,1,stressed
1998-11-30,4.83,0.0012202562538132,4.83,0.0574440362046962,26.010000228881836,1,stressed
1998-12-31,4.68,0.0018281535648996,4.65,0.054843507646719,24.420000076293945,1,stressed
1999-01-31,4.63,0.001824817518248,4.72,0.0401908586154822,26.25,1,stressed
1999-02-28,4.76,0.0,5.0,-0.0328151376002514,27.8799991607666,1,stressed
1999-03-31,4.81,0.0006071645415908,5.23,0.0380606322589118,23.260000228881836,1,stressed
1999-04-30,4.74,0.0066747572815533,5.18,0.0372418599721307,25.06999969482422,1,stressed
1999-05-31,4.74,0.0006027727546713,5.54,-0.0252875323361149,25.38999938964844,1,stressed
1999-06-30,4.76,0.0,5.9,0.053008237590088,21.09000015258789,1,stressed
1999-07-31,4.99,0.0042168674698794,5.79,-0.0325708089457425,24.63999938964844,1,stressed
1999-08-31,5.07,0.0023995200959807,5.94,-0.0062737304431889,24.450000762939453,1,stressed
1999-09-30,5.22,0.0041891083183722,5.92,-0.0289673234211002,25.40999984741211,1,stressed
1999-10-31,5.2,0.0017878426698449,6.11,0.0606618366085531,22.200000762939453,1,stressed
1999-11-30,5.42,0.0017846519928614,6.03,0.0188824579615932,24.18000030517578,1,stressed
1999-12-31,5.3,0.002375296912114,6.28,0.0562327750451049,24.63999938964844,1,stressed
2000-01-31,5.45,0.0029620853080569,6.66,-0.05224485096542,24.950000762939453,1,stressed
2000-02-29,5.73,0.0041346721795627,6.52,-0.0203130024369014,23.3700008392334,1,stressed
2000-03-31,5.85,0.0058823529411764,6.26,0.0923237506366766,24.11000061035156,1,stressed
2000-04-30,6.02,-0.0005847953216373,5.99,-0.0312799109533902,26.200000762939453,1,stressed
2000-05-31,6.27,0.0017554125219425,6.44,-0.0221587523957555,23.649999618530273,1,stressed
2000-06-30,6.53,0.0058411214953271,6.1,0.0236516315584323,19.540000915527344,0,calm
2000-07-31,6.54,0.0029036004645761,6.05,-0.0164762671934852,20.739999771118164,1,stressed
2000-08-31,6.5,0.0,5.83,0.0589282236915325,16.84000015258789,0,calm
2000-09-30,6.52,0.0052113491603937,5.8,-0.0549663208767474,20.56999969482422,1,stressed
2000-10-31,6.51,0.0017281105990785,5.74,-0.0049617746918859,23.6299991607666,1,stressed
2000-11-30,6.51,0.0017251293847038,5.72,-0.083456187923591,29.649999618530273,1,stressed
2000-12-31,6.4,0.002296211251435,5.24,0.0040452525456847,26.850000381469727,1,stressed
2001-01-31,5.98,0.0057273768613974,5.16,0.0340502314092609,22.020000457763672,1,stressed
2001-02-28,5.49,0.0022779043280183,5.1,-0.0968311448208673,28.350000381469727,1,stressed
2001-03-31,5.31,0.0005681818181817,4.89,-0.0663585345479358,28.63999938964844,1,stressed
2001-04-30,4.8,0.0017035775127769,5.14,0.0740070171655906,25.479999542236328,1,stressed
2001-05-31,4.21,0.0051020408163264,5.39,0.005077276192499,22.63999938964844,1,stressed
2001-06-30,3.97,0.0022560631697685,5.28,-0.0253541054918207,19.059999465942383,0,calm
2001-07-31,3.77,-0.0016882386043892,5.24,-0.0107982413190252,21.6200008392334,1,stressed
2001-08-31,3.65,0.0,4.97,-0.0662556285291686,24.920000076293945,1,stressed
2001-09-30,3.07,0.0039458850056368,4.73,-0.0852566327694199,31.93000030517578,2,crisis
2001-10-31,2.49,-0.0028074115665356,4.57,0.0179372722626829,33.560001373291016,2,crisis
2001-11-30,2.09,-0.000563063063063,4.65,0.0724842799367107,23.84000015258789,1,stressed
2001-12-31,1.82,-0.0005633802816901,5.09,0.0075452966090378,23.799999237060547,1,stressed
2002-01-31,1.73,0.0016910935738443,5.04,-0.0156963785927956,21.09000015258789,1,stressed
2002-02-28,1.74,0.0016882386043894,4.91,-0.0209848611197933,21.59000015258789,1,stressed
2002-03-31,1.73,0.002808988764045,5.28,0.036080106667215,17.399999618530273,0,calm
2002-04-30,1.75,0.0044817927170868,5.21,-0.0633846547446828,21.90999984741211,1,stressed
2002-05-31,1.75,0.0011154489682096,5.16,-0.0091229693767845,19.979999542236328,0,calm
2002-06-30,1.75,0.0005571030640667,4.93,-0.0752143496031787,25.399999618530273,1,stressed
2002-07-31,1.73,0.0022271714922048,4.65,-0.0822998845936379,32.029998779296875,2,crisis
2002-08-31,1.74,0.0027777777777777,4.26,0.0048695577417693,32.63999938964844,2,crisis
2002-09-30,1.75,0.0016620498614958,3.87,-0.1165611405083879,39.689998626708984,2,crisis
2002-10-31,1.75,0.0022123893805308,3.94,0.0829143961191542,31.13999938964844,2,crisis
2002-11-30,1.34,0.0016556291390728,4.05,0.0555005710434994,27.5,1,stressed
2002-12-31,1.24,0.0016528925619836,4.03,-0.0622292661977205,28.6200008392334,1,stressed
2003-01-31,1.24,0.0044004400440043,4.05,-0.0277974877305516,31.170000076293945,2,crisis
2003-02-28,1.26,0.0054764512595837,3.9,-0.0171498294997661,29.6299991607666,1,stressed
2003-03-31,1.25,0.0016339869281045,3.81,0.0083228365929884,29.149999618530273,1,stressed
2003-04-30,1.26,-0.0038064165307233,3.96,0.077927340026379,21.209999084472656,1,stressed
2003-05-31,1.26,-0.0016375545851528,3.57,0.0496457119978259,19.469999313354492,0,calm
2003-06-30,1.22,0.0010934937124111,3.33,0.011258598140629,19.520000457763672,0,calm
2003-07-31,1.01,0.0032768978700163,3.98,0.0160935040134788,19.489999771118164,0,calm
2003-08-31,1.03,0.004354926510615,4.45,0.017715355943955,18.6299991607666,0,calm
2003-09-30,1.01,0.0032520325203251,4.27,-0.0120162716714291,22.719999313354492,1,stressed
2003-10-31,1.01,-0.0010804970286331,4.29,0.0535042607031232,16.100000381469727,0,calm
2003-11-30,1.0,0.0005408328826392,4.3,0.0071032163906625,16.31999969482422,0,calm
2003-12-31,0.98,0.0027027027027026,4.27,0.0495189849711049,18.309999465942383,0,calm
2004-01-31,1.0,0.0043126684636118,4.15,0.0171288470577149,16.6299991607666,0,calm
2004-02-29,1.01,0.0021470746108425,4.08,0.0121350453361058,14.550000190734863,0,calm
2004-03-31,1.0,0.0021424745581146,3.83,-0.0164942041786425,16.739999771118164,0,calm
2004-04-30,1.0,0.0016034206306787,4.35,-0.0169333147130639,17.190000534057617,0,calm
2004-05-31,1.0,0.0042689434364993,4.72,0.0120110280360958,15.5,0,calm
2004-06-30,1.03,0.0037194473963868,4.73,0.0178291113621115,14.34000015258789,0,calm
2004-07-31,1.26,0.0010587612493382,4.5,-0.0348922348471668,15.31999969482422,0,calm
2004-08-31,1.43,0.0005288207297726,4.28,0.0022847383199045,15.289999961853027,0,calm
2004-09-30,1.61,0.003171247357294,4.13,0.0093203062182699,13.34000015258789,0,calm
2004-10-31,1.76,0.0052687038988408,4.1,0.0139169521028178,16.270000457763672,0,calm
2004-11-30,1.93,0.0047169811320753,4.19,0.0378687769068283,13.239999771118164,0,calm
2004-12-31,2.16,0.0,4.23,0.0319425732114828,13.289999961853027,0,calm
2005-01-31,2.28,-0.0005216484089722,4.22,-0.0256157676953058,12.81999969482422,0,calm
2005-02-28,2.5,0.0041753653444676,4.17,0.0187268980560266,12.079999923706056,0,calm
2005-03-31,2.63,0.0036382536382535,4.5,-0.0193027609216905,14.020000457763672,0,calm
2005-04-30,2.79,0.0031071983428274,4.34,-0.0203135115002225,15.3100004196167,0,calm
2005-05-31,3.0,-0.0005162622612286,4.14,0.0295122444890195,13.289999961853027,0,calm
2005-06-30,3.04,0.0005165289256197,4.0,-0.0001427243645053,12.039999961853027,0,calm
2005-07-31,3.26,0.0061951471347445,4.18,0.0353365322718687,11.56999969482422,0,calm
2005-08-31,3.5,0.0061570035915854,4.26,-0.0112855475028992,12.600000381469728,0,calm
2005-09-30,3.62,0.0137684854665987,4.2,0.0069249911211933,11.920000076293944,0,calm
2005-10-31,3.78,0.0015090543259557,4.46,-0.0179000339063433,15.31999969482422,0,calm
2005-11-30,4.0,-0.0050226017076845,4.54,0.0345812139547286,12.0600004196167,0,calm
2005-12-31,4.16,0.0,4.47,-0.0009528030899304,12.06999969482422,0,calm
